mun_code,mun_name,mun_name_simple,mun_id,reg_map,reg_name
3112653,"CAPITÃO ANDRADE","CAPITAO ANDRADE",764,"VALE DO RIO DOCE","Rio Doce"
3115201,"CONCEIÇÃO DA BARRA DE MINAS","CONCEICAO DA BARRA DE MINAS",32,"CENTRAL MINEIRA",Central
3115359,"CATAS ALTAS","CATAS ALTAS",29,"CENTRAL MINEIRA",Central
3115458,CATUJI,CATUJI,700,JEQUITINHONHA,"Jequitinhonha / Mucuri"
3115474,CATUTI,CATUTI,606,"NORTE DE MINAS","Norte de Minas"
3116100,"CHAPADA DO NORTE","CHAPADA DO NORTE",701,JEQUITINHONHA,"Jequitinhonha / Mucuri"
3117207,"CONCEIÇÃO DAS PEDRAS","CONCEICAO DAS PEDRAS",346,"SUL/SUDOESTE DE MINAS","Sul de Minas"
3119807,"CÓRREGO DANTA","CORREGO DANTA",537,"OESTE DE MINAS","Centro Oeste"
3119955,"CÓRREGO FUNDO","CORREGO FUNDO",538,"OESTE DE MINAS","Centro Oeste"
3120003,"CÓRREGO NOVO","CORREGO NOVO",773,"VALE DO RIO DOCE","Rio Doce"
3120151,"CRISÓLITA",CRISOLITA,704,JEQUITINHONHA,"Jequitinhonha / Mucuri"
3120839,CUPARAQUE,CUPARAQUE,774,"VALE DO RIO DOCE","Rio Doce"
3121100,"DELFIM MOREIRA","DELFIM MOREIRA",356,"SUL/SUDOESTE DE MINAS","Sul de Minas"
3121258,DELTA,DELTA,470,"TRIÂNGULO MINEIRO/ALTO PARANAÍBA","Triângulo"
3121704,"DIOGO DE VASCONCELOS","DIOGO DE VASCONCELOS",50,"CENTRAL MINEIRA",Central
3121902,"DIVINÉSIA",DIVINESIA,191,"ZONA DA MATA",Mata
3122405,"DIVISA NOVA","DIVISA NOVA",358,"SUL/SUDOESTE DE MINAS","Sul de Minas"
3123304,"DORES DO TURVO","DORES DO TURVO",195,"ZONA DA MATA",Mata
3123528,"DURANDÉ",DURANDE,196,"ZONA DA MATA",Mata
3125408,"FELÍCIO DOS SANTOS","FELICIO DOS SANTOS",56,"CENTRAL MINEIRA",Central
3126307,"FORTALEZA DE MINAS","FORTALEZA DE MINAS",365,"SUL/SUDOESTE DE MINAS","Sul de Minas"
3126752,"FRANCISCÓPOLIS",FRANCISCOPOLIS,708,JEQUITINHONHA,"Jequitinhonha / Mucuri"
3126802,"FREI GASPAR","FREI GASPAR",709,JEQUITINHONHA,"Jequitinhonha / Mucuri"
3126950,"FREI LAGONEGRO","FREI LAGONEGRO",783,"VALE DO RIO DOCE","Rio Doce"
3127073,"FRUTA DE LEITE","FRUTA DE LEITE",618,"NORTE DE MINAS","Norte de Minas"
3127354,"GLAUCILÂNDIA",GLAUCILANDIA,620,"NORTE DE MINAS","Norte de Minas"
3127370,GOIABEIRA,GOIABEIRA,785,"VALE DO RIO DOCE","Rio Doce"
3127404,"GONÇALVES",GONCALVES,366,"SUL/SUDOESTE DE MINAS","Sul de Minas"
3128253,GUARACIAMA,GUARACIAMA,622,"NORTE DE MINAS","Norte de Minas"
